GOOGLE_REVIEWS ID,Business Rating,Business Reviews,Source URL,Business Name,Author Name,Local Guide,Review Text,Review Rating,Review Date,Author URL,Topic Keywords,Topics
32,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",T  Do,Local Guide,"came in to get my e-test done...they don't do it here, booo. is it me, or has canadian tire lost its homely feel to it. i don't find myself going to canadian tire much these days.",4 stars,4 months ago,https://www.google.com/maps/contrib/106933797573263008000/reviews?hl=en-CA,"[canadian, tire, find, canadian, tire]","[4, 2]"
33,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Ryan  Guthrie,Local Guide,the canadian tire website said the brantford location had 8 ice melters in stock. i drove out of my way and was told at the store that those 8 bags were damaged and unsellable but they still show up as stock items. why in the world are they not removing damaged goods from stock? big inconvenience to me. fix your process.,2 stars,2 months ago,https://www.google.com/maps/contrib/109028820673257480979/reviews?hl=en-CA,"[canadian, tire, brantford, location, stock, told, store, stock, items, stock]","[1, 4, 2]"
34,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Joey  Carrano,Local Guide,coming from the states...this was a fun store to walk through,4 stars,a month ago,https://www.google.com/maps/contrib/104866011408741855750/reviews?hl=en-CA,[store],[1]
35,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",alanjholly,Local Guide,always something to buy at newfie speed and sport. usually have what you want.,4 stars,2 months ago,https://www.google.com/maps/contrib/100576200676891482917/reviews?hl=en-CA,[],[]
36,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Fred  Gerritsen,Local Guide,great store. many great sales of real value.,5 stars,2 months ago,https://www.google.com/maps/contrib/116067612137760236600/reviews?hl=en-CA,"[great, store, great, sales]","[3, 1]"
37,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Michael  Baleck,"",very good needed salt picked up 4 bags right on !,5 stars,2 months ago,https://www.google.com/maps/contrib/107062690324913927303/reviews?hl=en-CA,"[good, needed]",[4]
38,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Susan  Johnson,Local Guide,"-5 rating!! worst auto service!!! my husband needed his brakes on his truck fixed and the only place we could get them done asap was here. he was quoted a price after they took it in to look at it, my husband said yes that was fine, fair …",1 star,6 months ago,https://www.google.com/maps/contrib/112153790307197551409/reviews?hl=en-CA,"[worst, auto, service, needed, place, price]","[3, 1, 4]"
39,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Ryan  Brown,"","very bad service, even tried to order online pickup and they couldn't do that either. horrible store",1 star,a week ago,https://www.google.com/maps/contrib/103410522933684098196/reviews?hl=en-CA,"[service, online, store]","[1, 3]"
40,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",John-Mike  Bolognone,Local Guide,this was canadian tire was great. all of the staff was very friendly. the girl at the customer service desk was so helpful! great experience!,5 stars,6 months ago,https://www.google.com/maps/contrib/118012425116261125684/reviews?hl=en-CA,"[canadian, tire, great, staff, friendly, customer, service, desk, helpful, great, experience]","[3, 4, 2]"
41,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Murphy  Hawthorne,Local Guide,good quality merchandise and wide selection.,4 stars,6 days ago,https://www.google.com/maps/contrib/104187801349185124232/reviews?hl=en-CA,"[good, selection]",[4]
42,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Mike  Regan,"",i wish i could give this store 0 stars. i placed an online order for home delivery through this store since they had the product in stock. and for some unknown dumb reason someone from this store cancelled my delivery which was supposed to …,1 star,4 months ago,https://www.google.com/maps/contrib/102621473860345453909/reviews?hl=en-CA,"[store, online, store, product, stock, store]",[1]
43,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Remy  Pravato,Local Guide,"good selection, helpful staff, lots of self check-out kiosks.",5 stars,2 months ago,https://www.google.com/maps/contrib/115409091872127301436/reviews?hl=en-CA,"[good, selection, helpful, staff]","[4, 2]"
44,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",K  Prince,"",great service.. needed to return a drill set bought by mistake... the girl at customer service desk was very helpful and polite.. was in and out of the store with a minimum of stress... thank you..,4 stars,6 months ago,https://www.google.com/maps/contrib/117013056513477549484/reviews?hl=en-CA,"[great, service, needed, return, bought, customer, service, desk, helpful, store]","[3, 1, 4]"
45,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Jaed  Racats,Local Guide,"always a great place to shop, with lots of sales weekly.",5 stars,2 months ago,https://www.google.com/maps/contrib/100068193913258276039/reviews?hl=en-CA,"[great, place, shop, sales]",[3]
46,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Denise  Sigouin,"",shelves always poorly stocked. poorly staffed.,2 stars,6 days ago,https://www.google.com/maps/contrib/114999529313466219695/reviews?hl=en-CA,[],[]
